Country/area,Technology,2 000,2 001,2 002,2 003,2 004,2 005,2 006,2 007,2 008,2 009,2 010,2 011,2 012,2 013,2 014,2 015,2 016,2 017,2 018,2 019
World,Total renewable energy,2 851 096,2 799 515,2 894 466,2 917 183,3 128 339,3 287 390,3 441 093,3 544 517,3 765 231,3 901 237,4 202 026,4 406 015,4 757 602,5 039 353,5 328 080,5 526 983,5 898 277,6 209 836,6 586 124,
,Hydropower,2 709 795,2 651 435,2 718 311,2 717 523,2 891 286,3 007 109,3 118 948,3 159 403,3 302 203,3 351 005,3 533 189,3 586 328,3 772 763,3 874 420,3 993 066,3 990 276,4 162 864,4 177 247,4 267 085,
,Renewable hydropower,2 623 467,2 565 394,2 630 519,2 629 869,2 801 799,2 914 470,3 026 123,3 063 784,3 211 714,3 263 060,3 439 293,3 495 916,3 683 720,3 785 279,3 900 587,3 896 043,4 048 204,4 055 844,4 149 216,
,Pumped storage,86 328,86 042,87 791,87 653,89 487,92 639,92 825,95 619,90 488,87 945,93 896,90 412,89 042,89 141,92 478,94 233,114 660,121 402,117 869,
,Marine,546,524,533,530,508,516,490,495,487,486,515,564,963,925,998,1 009,1 023,1 041,1 002,
,Wind,30 925,37 716,52 419,63 380,84 087,103 222,129 517,168 892,216 577,271 732,342 831,433 750,525 684,636 151,713 163,829 825,955 955,1 133 623,1 262 914,
,Onshore wind energy,30 808,37 560,51 978,62 538,82 852,101 780,127 835,166 599,213 205,266 543,335 437,422 387,511 305,616 008,687 363,792 193,913 024,1 076 971,1 194 718,
,Offshore wind energy,117,156,441,842,1 235,1 442,1 681,2 293,3 372,5 189,7 394,11 364,14 380,20 143,25 800,37 632,42 931,56 652,68 196,
,Solar,1 331,1 700,1 976,2 398,3 079,4 398,6 014,8 108,12 806,21 013,33 813,65 641,101 788,137 649,192 792,252 358,325 680,438 034,562 033,
,Solar photovoltaic,805,1 135,1 407,1 850,2 492,3 801,5 463,7 424,11 896,20 079,32 148,62 432,96 307,131 462,183 653,242 162,314 523,426 024,549 833,
,Concentrated solar power,526,565,569,549,588,597,551,685,910,934,1 665,3 208,5 481,6 187,9 140,10 196,11 157,12 010,12 200,
,Bioenergy,142 261,142 540,156 455,167 278,182 879,206 379,219 254,240 572,258 389,277 660,317 134,340 405,374 731,407 221,443 385,466 697,484 270,495 401,522 552,
,Solid biofuels,129 076,127 849,138 982,147 698,161 923,183 189,192 110,207 816,220 377,232 746,265 277,282 459,305 735,328 462,357 021,375 400,391 900,402 182,426 830,
,Bagasse,12 349,13 976,15 095,17 173,18 107,21 221,21 236,24 324,24 565,24 727,33 256,32 963,37 523,42 586,46 282,48 881,52 531,53 508,55 355,
,Renewable municipal waste,18 611,19 357,20 110,20 994,22 648,25 090,26 577,28 324,28 894,28 704,39 660,40 660,40 865,43 568,46 572,49 931,52 603,57 159,62 148,
,Other solid biofuels,98 086,94 457,103 743,109 464,121 106,136 836,144 242,155 108,166 860,179 265,192 361,208 835,227 287,242 243,264 074,276 497,286 680,291 411,309 214,
,Liquid biofuels,0,16,957,742,915,1 982,3 096,1 692,2 214,4 225,5 605,4 066,4 340,5 092,5 841,6 558,5 860,5 555,5 729,
,Biogas,13 185,14 676,16 517,18 838,20 041,21 208,24 048,31 064,35 798,40 689,46 251,53 880,64 655,73 667,79 984,83 504,85 150,86 432,88 378,
,Geothermal,52 566,51 642,52 564,53 727,55 987,58 406,59 697,62 664,65 257,67 286,68 441,69 739,70 716,72 129,77 153,81 052,83 145,85 891,88 408,
Africa,Total renewable energy,79 203,86 530,84 732,86 686,91 716,98 573,100 912,99 575,104 724,111 160,116 683,117 605,120 912,128 329,137 194,141 190,143 010,152 394,160 236,
,Hydropower,78 259,85 136,84 047,86 302,91 346,97 912,100 241,98 554,103 136,108 950,113 593,113 604,115 758,122 334,126 873,126 049,123 058,130 067,134 043,
,Renewable hydropower,76 421,83 436,81 564,83 383,87 835,94 396,96 711,95 167,99 868,105 817,110 530,110 511,112 578,119 216,123 427,122 687,119 451,125 504,129 204,
,Pumped storage,1 838,1 700,2 484,2 919,3 511,3 516,3 530,3 387,3 267,3 133,3 063,3 093,3 180,3 118,3 446,3 362,3 607,4 563,4 839,
,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,
,Wind,173,413,452,466,637,799,805,987,1 232,1 494,2 027,2 421,2 831,3 522,5 521,7 696,10 355,11 714,14 117,
