country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019
Afghanistan,10,64385715,432115,126247,304,92,190,253,207,246,159,259,112,74,94,116,41,2,4,0,0,0,28,19
Afghanistan,15,64385715,302660,106867,304,91,186,247,205,240,156,256,110,73,92,114,40,2,3,0,0,0,28,18
Afghanistan,20,64385715,284357,105733,304,89,180,245,203,238,153,254,108,71,88,114,40,2,3,0,0,0,28,18
Afghanistan,25,64385715,254867,72395,304,89,180,245,202,237,153,254,108,71,88,114,39,1,3,0,0,0,27,18
Afghanistan,30,64385715,205791,71797,304,88,179,244,201,236,152,253,107,70,88,113,39,1,3,0,0,0,26,17
Afghanistan,50,64385715,148430,46242,304,78,135,200,159,170,112,201,84,48,61,94,30,1,2,0,0,0,19,15
Afghanistan,75,64385715,75486,18270,304,47,61,96,61,64,43,83,28,21,24,41,14,0,0,0,0,0,10,8
Albania,10,2873537,838912,712807,7355,3816,909,636,3328,719,987,5348,5609,1379,680,1257,5699,2842,1182,334,1108,2111,2345,1247
Albania,15,2873537,776882,653386,7355,3784,897,629,3302,713,982,5327,5578,1366,674,1242,5626,2762,1154,325,1075,2025,2273,1212
Albania,20,2873537,753090,641896,7355,3761,893,625,3274,707,977,5297,5542,1355,666,1230,5578,2726,1134,322,1052,1969,2234,1188
Albania,25,2873537,706652,621131,7355,3739,890,617,3247,698,967,5240,5489,1341,659,1201,5481,2655,1100,309,1004,1854,2158,1145
Albania,30,2873537,648680,589017,7355,3729,890,614,3237,695,963,5225,5471,1337,656,1188,5396,2570,1052,284,928,1689,2049,1074
Albania,50,2873537,534848,428833,7355,3402,837,533,2994,631,901,4892,5034,1253,606,1034,4823,2223,941,254,758,1372,1798,947
Albania,75,2873537,363824,190809,7355,2582,706,374,2430,487,752,3947,4058,1018,502,789,3729,1637,729,198,524,930,1289,724
Algeria,10,124831323,1690460,1102812,32539,3696,3144,3951,4558,4667,5645,5418,8295,10842,2728,8611,11856,8508,11455,6875,9425,51298,6883,7732
Algeria,15,124831323,1472056,1001897,32539,3598,3091,3896,4475,4571,5554,5326,8147,10673,2677,8506,11552,7891,10738,6412,8884,49450,6389,7130
Algeria,20,124831323,1419827,984682,32539,3534,3050,3865,4433,4530,5501,5272,8073,10575,2646,8449,11411,7645,10441,6240,8646,48566,6268,6910
Algeria,25,124831323,1316669,865312,32539,3507,3026,3850,4401,4499,5450,5223,8009,10518,2620,8392,11190,7328,10067,6016,8373,47560,6030,6632
Algeria,30,124831323,1223621,821606,32539,3469,3010,3831,4374,4470,5415,5202,7972,10467,2606,8344,10913,6927,9523,5707,8011,45979,5764,6291
Algeria,50,124831323,895576,472785,32539,2427,2305,3019,3311,3401,4199,4160,6392,8507,2135,7192,8961,5045,6993,4267,6004,37696,4295,4620
Algeria,75,124831323,496666,221058,32539,1191,1358,1783,1810,1847,2428,2465,3767,5235,1341,4996,5738,2427,3373,2224,3219,22665,2356,2263
Angola,10,124742298,95924844,97293691,63771,119564,72802,68662,97998,133592,107427,217437,157662,271114,197659,287249,252333,262775,295202,225772,329692,433935,365605,268187
Angola,15,124742298,82782065,82189323,63771,117418,71082,65156,92376,125049,100959,201788,146860,248920,191218,263088,239413,247337,283511,217286,317812,411015,348378,254982
Angola,20,124742298,65933551,64925172,63771,109107,65789,57538,80278,106299,86752,167039,121211,196835,173199,212132,203304,202099,244904,186674,268936,336707,287610,208876
Angola,25,124742298,63332651,62622117,63771,107777,64923,56585,78605,103832,84870,162582,117258,189788,170227,205916,198478,194989,238355,181423,261000,324898,278261,201664
Angola,30,124742298,55292492,53847201,63771,101221,61034,52462,71274,93435,76940,145287,103582,165948,159806,182928,180755,168841,212662,161719,229710,280456,242552,175098
Angola,50,124742298,31917530,29980806,63771,76820,43061,35582,43422,53063,48241,88808,56013,92730,111802,100568,113042,99292,135584,102506,137072,159388,146256,101978
Angola,75,124742298,3783229,3335977,63771,33919,12841,10509,7283,8737,4941,26871,9833,17251,18618,13063,19846,24412,30716,24278,33374,31640,37025,25262
Argentina,10,278010122,43380537,42607890,643049,160343,110522,268465,458170,383842,328051,440263,608414,316430,420835,511199,487422,387826,249773,186232,239283,243577,178928,150799
Argentina,15,278010122,42376954,41989977,643049,155660,108760,261029,447394,376491,323444,433063,602654,313973,418050,508143,485353,385759,248094,185041,237454,241608,177749,149680
